Field 1,Field 0,Field 1 2,Ingredient (as per 100 g),Synonyms,Fruit/Veg,Red/Processed Meat,Not food/drink,No Data Available,Energy (Kj),Energy (Kcal),Carbohydrate (g),Of which sugars (g),Fibre (g),Protein (g),Total fat (g),Of which saturates (g),Monounsaturated fat (g),Polyunsaturated fat (g),Omega 3 (g),Omega 6 (g),Trans-fats (g),Salt (g),Alcohol (g),Calcium (mg),Chloride (mg),Phosphorus (mg),Sodium (mg),Potassium (mg),Magnesium (mg),Iron (mg),Selenium (ug),Iodine (ug),Vitamin A (ug),Vitamin D (ug),Vitamin E (mg),Vitamin K1,Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Pyridoxine (B6) (mg),Biotin (B7) (ug),Folates (B9) (ug),Vitamin B12 (ug),Vitamin C (mg),Nutritics ID,Comments,Source URL,Source URL 2,Source URL 3,Source URL 4,Source URL 5
326,937,1027,orange juice concentrate,,,,,,179,42,8.8,8.8,0,0.6,0,0.02,0.02,0.04,0,0,0,0.04,0,31.2,37,16.6,14.8,177,14,0.08,1,2.2,5.8,0,0.14,0,0.06,0.03,0.32,0.15,0.05,1.1,18,0,42,8279,,,,,,
327,939,1029,chopped green bell pepper,,checked,,,,84,20,2.6,2.4,1.9,0.8,0.5,0.1,0,0.2,,,0,0,0,8,19,19,4,120,10,0.4,0,1,44,0,0.8,6.4,0.01,0.01,0.2,0.08,0.3,,36,0,120,64643,,,,,,
328,940,1030,pizza crust,,,,,,993,235,44,1.5,1.8,6.2,3.5,0.48,2.2,0.51,0.03,0.43,5,0.91,0,72,592,78,362,111,16.6,1.3,0.97,5.2,1,0,0.28,1.9,0.18,0.05,2.2,0.28,0.11,2.3,47,0,0,5426,,,,,,
329,941,1031,panko breadcrumbs,,,,,,1121,266,47,0.6,1.3,7.5,5.5,2.2,,,,,,0.53,0,,321,,212,,,,,,,,,,,,,,,,,,,2650961,,,,,,
330,942,1032,marinara sauce,,,,,,268,64,8.9,6.1,1.4,1.7,2.5,0.4,,,,,,1.4,0,,848,,560,,,,,,,,,,,,,,,,,,,2529527,,,,,,
331,943,1033,cocktail,"shrimp cocktail, appetizer, crab cocktail, appetiser, starter, fruit cocktail",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,944,1034,sweetener,"hook, enticement, lure, come",,,,,0,0,0,91,,0,0,0,0,0,0,0,0,27.5,0,0,,,11000,,0,0,0,0,,,,,,,,,,,,,,5779,,,,,,
333,945,1035,cooked turkey,,,,,,700,166,0,0,0,31,4.6,1.4,1.7,1.1,,,0.1,0.23,0,11,85,260,90,350,27,0.8,17,8,0,0.3,0.06,,0.06,0.19,16.5,0.98,0.49,2,17,1,0,65455,,,,,,
334,946,1036,club soda,"soda pop, sparkling water, carbonated water, soda water, seltzer, tonic, drinking water, soda, pop",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,5,,0,21,2,1,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,65874,,,,,,
335,947,1037,adobo sauce,,,,,,137,33,4.9,3.7,0.5,1.4,0.7,0.22,0,0.04,0,0,0,1,0,24.6,1033,28.5,413,347,15.5,0.75,0.07,4,40,0,0.8,3.7,0.07,0.03,1.2,0.27,0.16,1.7,14,0,8,110531,,,,,,
336,948,1038,head cauliflower,,checked,,,,141,34,3.5,2.4,1.9,1.9,0.9,0.2,0.1,0.5,0.04,0.01,0,0.02,0,19,54,45,7,215,12,0.45,1,,0,0,0.11,28.5,0.09,0.03,0.9,0.47,0.15,1.2,48,0,30,63232,,,,,,
337,949,1040,dried onion,,,,,,1527,362,69,54,19,8.8,1.2,,,0.61,,,0,0.25,0,263,130,201,100,1209,69,2.6,,16,15,0,2.5,0,0.23,0,3.2,0.7,,,,0,33,64470,,,,,,
338,950,1041,dried sage,,,,,,1310,312,39,0,,11,13,7,1.9,1.8,,,0,0.03,0,1650,,91,11,1070,430,28.1,,,590,0,,,,0.34,5.7,,,,0,0,0,65077,,,,,,
339,951,1042,leaf lettuce,"Lactuca sativa crispa, loose",checked,,,,60,14,1.4,1.4,1.5,1.2,0,0.03,0,0.08,,,0,0.02,0,24,78,22,9,222,9,0.13,0,1,10,0,0.64,129,0.14,0.05,0.7,0.19,0.02,0.7,60,0,1,64213,,,,,,
340,952,1043,gold potatoes,,,,,,283,68,13,0.5,2.1,2.4,0,0,0,0,0,0,0,0.02,0,,12.1,,8,,,,,,,,,,,,,,,,0,,,4315854,,,,,,
341,953,1045,low sodium soy sauce,,,,,,185,44,7.9,7.1,0,3,0,0,0,0,0,0,0,10.7,0,17,6384,47,4272,180,37,2.4,0,0,0,0,0,0,0.05,0.13,4.8,0,0,0,11,0,0,13489,,,,,,
342,956,1048,shredded lettuce,,checked,,,,60,14,1.4,1.4,1.5,1.2,0,0.03,0,0.08,,,0,0.02,0,24,78,22,9,222,9,0.13,0,1,10,0,0.64,129,0.14,0.05,0.7,0.19,0.02,0.7,60,0,1,64213,,,,,,
343,959,1051,canned tomatoes,,,,,,111,26,3.8,3.8,0.8,1.1,0,0.01,0.01,0.04,,,0,0.01,0,11,74,17,5,212,10,0.57,0,3,55,0,1.4,6,0.13,0.04,1.1,0.11,0.12,1.4,11,0,11,65401,,,,,,
344,960,1052,sliced black olives,,,,,,915,222,4.8,2,2.7,1.8,21,2.3,15.3,2.1,0.06,1.7,,5,0,88,3750,3,2000,8,4,3.3,0.9,,120,,1.7,1.4,,,,0.02,0.02,,,,0.9,6635,,,,,,
345,964,1057,softened butter,,,,,,3062,745,0.6,0.6,0,0.6,82,52,20.9,2.8,0.68,1.4,2.9,1.8,0,18,1120,23,730,27,2,0,0,38,1060,0.9,1.9,7.4,0,0.07,0.1,0.05,0,0.2,0,0.3,0,63143,,,,,,
346,965,1058,sea scallops,"Pecten magellanicus, scollop, giant scallop, escallop, scallop",,,,,504,119,3.4,0,0,23,1.4,0.4,0.1,0.4,0.25,0.1,,0.45,0,29,410,240,180,240,38,1.1,51,20,0,0,,0,0.08,0.05,5.9,0.16,,2,18,9,0,65178,,,,,,
347,966,1059,granulated garlic,Garlic powder,,,,,1107,262,39,4.1,9.9,19,1.2,0.2,0,0.4,,,,0.05,0,65,190,220,19,1360,61,3.9,5,,0,0,0.03,0,,0.12,4.7,,0.99,,0,0,0,63865,,,,,,
348,968,1061,corn flakes,"cold cereal, dry cereal",,,,,1584,373,83,7.1,2.6,7.1,0.8,0.14,0.13,0.27,0.01,0.26,0,1.1,0,3,690,46,450,88,12,11.8,9,0,21,4.7,0.14,0.06,1.1,1.4,16.4,,1.5,2,170,1.9,0,63083,,,,,,
349,969,1062,condensed cream of mushroom soup,,,,,,194,47,3.6,0.8,0,1.3,3,0.5,1.6,0.9,0.27,0.6,0.1,0.58,0,30,370,30,230,55,4,0.3,1,3,43,0,0.54,0,0,0.05,0.5,0.1,0.01,1,2,0,0,65253,,,,,,
350,970,1063,apricot preserves,,,,,,1123,264,66,66,,0,0,0,,,,,,0,0,,0,,0,,,,,,,,,,,,,,,,0,,,2365884,,,,,,
351,971,1064,salted peanuts,,,,,,2626,633,16,3.6,8.5,28,49,6.8,24.2,16.5,0.31,13.4,0,1.3,0,37,660,410,500,810,180,1.3,4,19,0,0,0.66,,0.18,0.1,18.9,1.7,0.63,102,52,0,0,64600,,,,,,
352,973,1066,distilled white vinegar,,,,,,91,21,0.6,0.5,0.5,0.5,0.5,0.1,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,2354686,,,,,,
353,974,1067,ripe olives,"olive, black olive",,,,,454,111,0,0,4,0.9,11,1.7,5.7,1.3,,,0,3.3,0,61,2220,17,1330,91,22,1,,,30,0,2,0,0,0,0.1,0.02,0.02,0,0,0,0,64459,,,,,,
354,976,1072,shredded sharp cheddar cheese,,,,,,1716,414,0,0,0,25,35,21.7,9.4,1.1,,,1.4,1.8,0,739,1040,505,723,75,29,0.3,6,30,388,0.3,0.52,4.7,0.03,0.39,6.9,0.5,0.15,4.4,31,2.4,0,63263,,,,,,
355,977,1073,macadamia nuts,"genus Macadamia, macadamia, Macadamia ternifolia, macadamia tree, macadamia nut tree",,,,,3124,759,4.5,3.8,5.3,7.9,78,11.2,61,1.6,0,1.6,0,0.04,0,47,27,200,15,300,100,1.6,7,0,0,0,1.5,0,0.28,0.06,3.3,0.61,0.28,6,0,0,0,16477,,,,,,
356,979,1075,grated carrot,,checked,,,,222,53,8,7,3.9,1,0.5,0.1,0.11,0.08,0.01,0.07,0,0.07,0,26,122,16,27,178,7,0.23,0,0,1961,0,0.09,5.5,0.13,0.01,0.4,0.27,0.06,0.3,8,0,2,63200,,,,,,
357,981,1077,fresh mozzarella,,,,,,1060,255,0,0,0,18,20,13.8,5,0.76,,,0.8,0.99,0,362,650,267,395,51,15,0,6,18,283,0.2,0.31,,0.03,0.4,5.1,0.25,0.1,2.2,20,1.7,0,63280,,,,,,
358,982,1078,kalamata olives,,,,,,915,222,4.8,2,2.7,1.8,21,2.3,15.3,2.1,0.06,1.7,,5,0,88,3750,3,2000,8,4,3.3,0.9,,120,,1.7,1.4,,,,0.02,0.02,,,,0.9,6635,,,,,,
359,984,1080,plums,plumb,,,,,213,50,11,8.7,2.3,0.6,0,0,0,0,,,0,0,0,13,0,23,2,240,8,0.4,0,0,63,0,0.61,7.5,0.05,0.03,1.2,0.15,0.05,0,3,0,4,64731,,,,,,
360,986,1082,ginger root,,,,,,223,53,8,2,2,2,0.8,0.2,0.15,0.15,,,0,0.03,0,16,,34,13,415,43,0.6,,,0,0,0.26,0.1,0.02,0.03,1,0.2,0.16,,11,0,5,63877,,,,,,
361,987,1083,toasted sesame seeds,,,,,,2600,630,0.8,0.5,9.3,22,58,10.5,22.1,25.5,0.15,25.4,0,0.05,0,670,10,720,20,570,370,10.4,,,1,0,2.5,,0.93,0.17,10.4,2.1,0.75,11,97,0,0,65202,,,,,,
362,988,1084,sliced green onions,"spring onion, scallion",checked,,,,124,30,3,2.8,2.5,2,0.5,0.1,0.1,0.2,,,0,0.02,0,39,31,29,7,260,12,1.9,,,105,0,,207,0.05,0.03,1,0.07,0.13,,54,0,26,65276,,,,,,
363,989,1085,frozen broccoli,,checked,,,,166,40,2.7,1.5,4.2,3.3,0.9,0.1,0.1,0.4,0.02,0.01,,0.03,0,37,23,67,13,240,18,0.6,0,2,90,0,1.1,0,0.06,0.05,1.3,,0.11,,64,0,64,65617,,,,,,
364,990,1086,malt,"lager beer, lager, malt liquor",,,,,1267,298,70,70,0,4.8,0,0,0,0,0,0,0,0.03,0,13,0,168,10,288,56,4.8,,0,0,0,0,,0.3,0.48,8,0,0,0,,0,0,5223,Malt extract (Meridian),,,,,
365,992,1089,cajun seasoning,,,,,,875,208,28,1.3,2,9.7,5.8,1,0.56,2.4,0.06,0.46,0,31.2,0,325,19062,175,12499,119,134,18.1,1.4,13.9,1676,0,0.01,0,0.16,0.46,6.4,0,0.19,0,0,0,0,6566,,,,,,
